name,namings,Ibnhajar_rank,shuhra,laqab,nasab,selat_karaba,mazhab,kunia,death_year,tabaqa,zahabi_rank,living_city,birth_year,death_city,journey_city,id,narrated_from,narrated_to,id_in_full_list
عبد الله بن أنيس,"['أبي', 'أبيه', 'الجهني', 'الجهني عبد الله بن أنيس', 'عبد الله', 'عبد الله الجهني', 'عبد الله بن أنيس', 'عبد الله بن أنيس الأنصاري', 'عبد الله بن أنيس الجهني', 'عبد الله وهو ابن أنيس']",صحابي,-,-,المدني ، العقبي القضاعي ، الجهني ، حليف بني سلمة من الأنصار,حليف لبني نابي من بني سلمة من الأنصار، ولبني دينار بن النجار ، وأولاده : عطية ، وعمرو ، وضمرة ، وعبد الله ، وعيسى ، ويزيد ، وخالدة,-,أبو يحيى ،  وقيل : أبو فاطمة,54هـ ، ووهم من قال : 80هـ,صحابي,عقبي,الجبيل ، المدينة,-,قال ابن يونس : توفي بالشام . وقال ابن حبان : مات بالمدينة.,مصر ، إفريقية,599,"[1765, 23]","[1091, 1765, 804, 324, 696, 598, 370, 377, 2032]",2405
محمد بن عمرو بن عطاء بن عياش بن علقمة بن عبد الله بن أبي قيس بن عبدود بن نصر بن مالك بن حسل بن عامر بن لؤي,"['عطاء', 'محمد ابن عطاء', 'محمد بن أبي عياش', 'محمد بن عطاء', 'محمد بن عطاء وهو محمد بن عمرو بن عطاء نسبه إلى جده', 'محمد بن عمرو', 'محمد بن عمرو العامري', 'محمد بن عمرو بن عطاء', 'محمد بن عمرو بن عطاء أحد بني مالك', 'محمد بن عمرو بن عطاء العامري', 'محمد بن عمرو بن عطاء القرشي', 'محمد بن عمرو بن عطاء بن علقمة', 'محمد بن عمرو بن عطاء بن علقمة القرشي', 'محمد بن عمرو بن عطاء بن عياش بن علقمة أخو بني عامر بن لؤي', 'محمد بن عمرو بن عطاء عن علقمة', 'محمد بن عمرو يعني ابن عطاء']",ثقة,-,-,القرشي ، العامري ، المدني,قيل : إنه مولى بني عامر بن لؤى ، أمه أم كلثوم بنت عبد الله بن غيلان بن سلمة بن معتب بن مالك بن كعب من ثقيف,-,أبو عبدالله,بعد 120هـ,الثالثة,وثقه أبو حاتم,-,-,المدينة,-,600,"[434, 1983, 171, 1690, 1516, 478, 85, 702, 398, 1256, 49, 18, 251, 66, 97, 690, 1264, 1393, 1569, 1319, 1159]","[397, 1457, 486, 1119, 378, 1130, 357, 2, 273, 304, 286, 158]",7037
محمد بن أحمد بن محمد بن فارس بن أبي الفوارس : سهل,"['أبو الفتح محمد بن أحمد بن أبي الفوارس الحافظ', 'أبو صادق بن أبي الفوارس', 'أبو صادق محمد بن أحمد بن أبي الفوارس الصيدلاني', 'الشيخ أبو الفتح محمد بن أحمد بن أبي الفوارس الحافظ']",-,-,الحافظ,البغدادي ، الحافظ,أخوه علي بن أحمد بن أبي الفوارس,-,أبو الفتح,412 هـ,-,-,بغداد : كان يسكن بالجانب الشرقي,338 هـ,-,البصرة ، وبلاد فارس وخراسان ، وأصبهان,601,"[602, 472, 522, 612]",[35],8696
محمد بن عبد الله بن إبراهيم بن عبدويه بن موسي بن بيان,"['أبو بكر', 'أبو بكر الشافعي', 'أبو بكر الشافعي هو محمد بن عبد الله بن إبراهيم', 'أبو بكر بن عبد الله', 'أبو بكر بن عبد الله الشافعي', 'أبو بكر محمد بن إبراهيم البزار', 'أبو بكر محمد بن إبراهيم البزاز', 'أبو بكر محمد بن إبراهيم الشافعي', 'أبو بكر محمد بن عبد الله البزار', 'أبو بكر محمد بن عبد الله البزاز', 'أبو بكر محمد بن عبد الله الشافعي', 'أبو بكر محمد بن عبد الله بن إبراهيم', 'أبو بكر محمد بن عبد الله بن إبراهيم البزاز', 'أبو بكر محمد بن عبد الله بن إبراهيم الشافعي', 'أبو بكر محمد بن عبد الله بن إبراهيم بن عبد الله البزاز', 'أبو بكر محمد بن عبد الله بن إبراهيم بن عمرو البزار', 'أبو بكر محمد بن عبد الله بن عمرو البزاز', 'أبو محمد بن عبد الله الشافعي', 'أحمد بن عبد الله بن إبراهيم', 'الشافعي', 'محمد بن عبد الله', 'محمد بن عبد الله الشافعي', 'محمد بن عبد الله بن إبراهيم', 'محمد بن عبد الله بن إبراهيم الشافعي', 'محمد بن عبد الله بن موسى البزاز', 'محمد بن عبدويه']",-,الشافعي,-,الشافعي ، البزاز ، السفار ، جبلي,-,-,أبو بكر,354هـ,-,-,بغداد,260هـ,-,مصر ، الشام ، الجزيرة,602,"[355, 46, 881, 219, 531, 212, 31, 473, 499, 79, 775, 565, 1178, 455, 655, 1190, 1636, 1743, 271, 115]","[611, 1477, 635, 2197, 1069, 1472, 2165, 1180, 468, 148, 1680, 601, 5, 128, 211, 1095]",332
حماد بن سلمة بن دينار,"['أبو سلمة', 'ابن سلمة', 'حماد', 'حماد ابن أخت حميد الطويل', 'حماد بن سلمة', 'حماد هو ابن سلمة', 'حماد وهو ابن سلمة', 'حماد يعني ابن سلمة', 'حمام', 'عثمان بن سلمة', 'محمد بن سلمة']",ثقه عابد ، أثبت الناس في ثابت ، وتغير حفظه بآخره,-,-,البصري ، الخزاز ، التميمى ، ويقال : القرشي مولاهم ، وقد قيل : إنه حميري ، السلمى  ،  مولى بني ربيعة بن مالك بن حنظلة,مولى تميم ، ويقال : مولى قريش ، ويقال : مولى ربيعة بن مالك بن حنظلة ،   ويقال : مولى حميري بن كرامة  ،  ويقال : مولى حميد بن كراثة ، ابن أخت حميد الطويل.,-,أبو سلمة.,167 هـ ،أو 165  هـ.,من كبار الثامنة,أحد الأعلام ، ثقة صدوق يغلط ، وليس في قوة مالك.,البصرة.,-,-,واسط,603,"[668, 743, 255, 1285, 1275, 1457, 57, 1795, 904, 609, 1303, 672, 102, 1196, 292, 575, 1458, 324, 1717, 750, 58, 1143, 910, 596, 1167, 453, 87, 544, 1530, 1608, 426, 513, 1327, 175, 1707, 906, 86, 452, 299, 197, 438, 16, 1247, 138, 1576, 1012, 1160, 662, 962, 354, 28, 441, 157, 1362, 1851, 377, 501, 1850, 676, 1443, 1292, 378, 402, 2041, 716, 986, 357, 198, 2, 483, 323, 661, 1041, 286, 879, 1014]","[168, 1286, 330, 510, 956, 1191, 1236, 480, 57, 213, 564, 819, 890, 828, 1338, 639, 969, 127, 1375, 778, 1439, 882, 1054, 155, 1875, 169, 285, 416, 299, 289, 459, 438, 1328, 584, 913, 138, 92, 1441, 81, 375, 875, 943, 1166, 1324, 215, 214, 1202, 220, 675, 333, 764, 695, 352, 1551, 568, 837, 413, 394, 950, 505, 39, 151, 723, 226, 147, 632, 21, 71, 1072]",205
جابر بن زيد,"['أبو الشعثاء', 'أبو الشعثاء جابر بن زيد', 'أبو الشعثاء جابر يعني ابن زيد', 'أبو الشعثاء جابرا', 'أبو الشعثاء وهو جابر بن زيد', 'أبو المنذر', 'ابن زيد', 'جابر', 'جابر بن زيد', 'جابر بن زيد أبا الشعثاء', 'جابر بن زيد أبو الشعثاء', 'جابر بن زيد أبي الشعثاء', 'جابر بن يزيد', 'جابر يعني ابن زيد']",ثقة فقيه,أبو الشعثاء,-,الأزدي ، الجوفي ، البصري ، اليحمدي,صاحب ابن عباس,قال ابن معين : كان إباضيا ، وقال ابن حبان : كانت الإباضية تنتحله وكان هو يتبرأ من ذلك,أبو الشعثاء,قال أبو سليمان بن زبر : 90 هـ قبل أنس بن مالك . وقال البخاري وغيره : 93 هـ . وقال ابن سعد : 103 هـ . وقال الهيثم بن عدي : 104 هـ,الثالثة,قال ابن عباس : لو نزل أهل البصرة عند قوله لأوسعهم علما من كتاب الله,البصرة ، الأزد ، درب الجوف,-,-,-,604,"[324, 453, 2143, 679, 98, 663, 49, 621, 251, 97, 780, 300, 104, 23, 614]","[820, 102, 1196, 575, 771, 750, 1608, 426, 610, 299, 438, 1247, 867, 199, 662, 157, 690, 378, 2041, 716, 980, 483, 323, 723]",1719
زكريا بن إسحاق,"['زكريا', 'زكريا بن أبي إسحاق', 'زكريا بن إسحاق', 'زكريا بن إسحاق المكي', 'زكريا يعني ابن إسحاق', 'زكرياء', 'زكرياء بن إسحاق', 'زكرياء بن إسحاق المكي']",ثقة,-,-,المكي,-,قدري,-,151هـ : 160هـ,السادسة,ثقة,-,-,-,-,605,"[606, 1631, 378, 323, 304]","[721, 1700, 819, 169, 238, 375, 215, 675, 226]",4087
إبراهيم بن ميسرة,"['إبراهيم', 'إبراهيم بن ميسرة', 'إبراهيم بن ميسرة الطائفي', 'ابن ميسرة']",ثبت حافظ,-,-,الطائفي ، المكي مولاهم,مولى لبعض أهل مكة,-,-,132هـ ، أو قريبا منها,الخامسة,قال الحميدي : قال لي سفيان : لم تر عيناك مثله,مكة,-,-,-,606,"[255, 264, 56, 452, 85, 25, 1012, 98, 690, 23, 405, 378, 402, 198]","[102, 1118, 322, 605, 1763, 299, 65, 138, 375, 377, 723]",3790
صلة بن زفر,"['صلة', 'صلة بن زفر', 'صلة بن زفر العبسي', 'صلة يعني ابن زفر']",ثقة جليل,-,-,العبسي ، الكوفي,-,-,أبو العلاء ،  ويقال : أبو بكر,في حدود الـ 70هـ في ولاية مصعب بن الزبير,تابعي كبير . من الثانية,وثق,-,-,الكوفة,-,607,"[24, 313, 50, 61, 104, 363]","[255, 820, 910, 1530, 43, 16, 1301, 663, 17]",6143
إسماعيل بن موسى,"['إسماعيل', 'إسماعيل ابن بنت السدي', 'إسماعيل السدي', 'إسماعيل بن موسى', 'إسماعيل بن موسى ابن بنت السدي', 'إسماعيل بن موسى السدوسي', 'إسماعيل بن موسى السدي', 'إسماعيل بن موسى الفزاري', 'إسماعيل بن موسى الفزاري ابن بنت السدي', 'إسماعيل بن موسى الفزاري ابن بنت السدي الكوفي', 'إسماعيل بن موسى الكوفي', 'إسماعيل بن موسى المعروف بابن بنت السدي', 'إسماعيل بن موسى بن ابنة السدي', 'إسماعيل بن موسى بن بنت السدي', 'إسماعيل بن موسى وهو ابن بنت السدي', 'ابن ابنة السدي', 'ابن بنت السدي']",صدوق يخطئ ، رمي بالرفض,-,-,الفزاري ، الكوفي ، السدي,نسيب السدي ، أو ابن بنته ، أو ابن أخته,رمي بالرفض ، أنكروا عليه الغلو في التشيع,أبو محمد ، ويقال : أبو إسحاق,245 هـ,العاشرة,صدوق شيعي,-,-,-,-,608,"[502, 321, 774, 386, 1687, 1590, 65, 867, 93, 1027, 369]","[63, 46, 31, 69, 74, 314, 123, 1341, 79, 319, 1426, 153, 411, 202, 115, 1155, 1361]",2633
أفلح,"['أبيه', 'أفلح', 'أفلح الأنصاري', 'أفلح بن كثير', 'أفلح غلام أبي أيوب', 'أفلح مولى أبي أيوب', 'أفلح مولى أبي أيوب الأنصاري']",مخضرم ، ثقة,-,-,المدني,مولى أبي أيوب الأنصاري ، ونسيبه : أبو الوليد عبد الله بن الحارث,-,أبو عبد الرحمن ، ويقال : أبو يحيى ، ويقال : أبو كثير,63 هـ ، أو 64 هـ,الثانية,-,-,-,الحرة,-,609,"[56, 94, 478, 450, 97, 377]","[603, 1515, 483]",405
سعيد بن يزيد بن مسلمة,"['أبو سلمة', 'أبو سلمة سعيد بن يزيد', 'أبو مسلمة', 'أبو مسلمة الأزدي', 'أبو مسلمة سعيد بن يزيد', 'أبو مسلمة سعيد بن يزيد الأزدي', 'أبو مسلمة هو سعيد بن يزيد الأزدي', 'أبو مسلمة واسمه سعيد بن يزيد', 'أبو مسلمة وهو سعيد بن يزيد', 'سعيد', 'سعيد أبو مسلمة', 'سعيد بن زيد', 'سعيد بن يزيد', 'سعيد بن يزيد أبو مسلمة', 'سعيد بن يزيد الأزدي', 'سعيد بن يزيد وهو أبو مسلمة', 'سعيد بن يزيد يعني أبا مسلمة', 'سعيد يعني ابن يزيد أبو مسلمة', 'سعيد يكنى أبا سلمة']",ثقة,-,القصير,الأزدي ، الطاحي ، البصري ، القصير ، وقال ابن حبان : الطحان,-,-,أبو مسلمة,بين 131 هـ إلى 140 هـ,الرابعة,ثقة,-,-,-,-,610,"[264, 604, 324, 453, 1659, 300]","[666, 295, 234, 138, 158]",1712
إبراهيم بن محمد بن إبراهيم بن مهران,"['أبو إسحاق إبراهيم بن محمد بن إبراهيم', 'أبو إسحاق إبراهيم بن محمد بن إبراهيم الإسفرائني', 'أبو إسحاق إبراهيم بن محمد بن إبراهيم الإسفرائيني', 'أبو إسحاق إبراهيم بن محمد بن إبراهيم الإمام', 'أبو إسحاق إبراهيم بن محمد بن إبراهيم الفقيه الطوسي', 'أبو إسحاق الإسفرائني الإمام', 'أبو إسحاق الإسفرائيني الإمام', 'الأستاذ أبو إسحاق إبراهيم بن محمد بن إبراهيم', 'الأستاذ أبو إسحاق إبراهيم بن محمد بن إبراهيم الإسفرائيني', 'الإمام أبو إسحاق إبراهيم بن محمد بن إبراهيم', 'الإمام أبو إسحاق إبراهيم بن محمد بن إبراهيم الإسفرائيني', 'الإمام أبو إسحاق الإسفرائيني', 'الفقيه أبو إسحاق إبراهيم بن محمد بن إبراهيم الطوسي']",-,-,ركن الدين,الإسفراييني ، الأصولي ، الشافعي,-,الشافعي,أبو إسحاق,418 هـ,-,-,-,-,نيسابور,-,611,"[454, 602, 522, 612, 422, 1396]",[35],2335
أحمد بن إبراهيم بن إسماعيل بن العباس,"['أبو بكر', 'أبو بكر أحمد بن إبراهيم', 'أبو بكر أحمد بن إبراهيم الإسماعيلي', 'أبو بكر أحمد بن إبراهيم الإسماعيلي الفقيه', 'أبو بكر أحمد بن إبراهيم الفقيه الإسماعيلي', 'أبو بكر الإسماعيلي', 'أبو بكر الحافظ', 'أبو بكر القاضي', 'أحمد بن إبراهيم', 'أحمد بن إبراهيم الإسماعيلي', 'أحمد بن إبراهيم بن إسماعيل', 'الإسماعيلي', 'الإمام أبو بكر أحمد بن إبراهيم الإسماعيلي']",-,-,الحافظ,الجرجاني ، الإسماعيلي ، الشافعي ، الحافظ,ابنه أبو سعد,الشافعى,أبو بكر,371 هـ,-,-,جرجان,277 هـ,جرجان,خراسان ، الحجاز ، العراق ، الحبال ، نسا,612,"[214, 333, 1353, 31, 473, 1150, 123, 1341, 436, 163, 79, 565, 1771, 1078, 455, 153, 411, 1675, 252, 1522, 1254, 366, 271, 115, 1361, 1447]","[611, 231, 1775, 845, 1709, 1253, 44, 601, 417, 5, 35, 1259]",632
علي بن عبد الله بن جعفر بن نجيح,"['ابن المديني', 'ابن عبد الله المدائني', 'علي', 'علي ابن المديني', 'علي بن المدني', 'علي بن المديني', 'علي بن المديني أبو الحسن', 'علي بن عبد الله', 'علي بن عبد الله المدائني', 'علي بن عبد الله المدايني', 'علي بن عبد الله المدني', 'علي بن عبد الله المديني', 'علي بن عبد الله بن المديني', 'علي بن عبد الله بن جعفر', 'علي بن عبد الله بن جعفر المديني', 'علي بن عبد الله بن جعفر بن نجيح المديني', 'علي هو ابن المديني', 'علي يعني ابن المديني', 'علي يعني ابن عبد الله بن المديني']",ثقة ثبت إمام,ابن المديني,الحافظ,المديني ، البصري ، السعدي مولاهم ، الحافظ,مولى عروة بن عطية السعدي ، ابنه عبد الله بن علي بن المديني,-,أبو الحسن,234 هـ ، أو : 235 هـ ، وقيل : 233  هـ,العاشرة,-,-,161 هـ ، أو : 162 هـ,سر من رأى,اليمن ، بغداد,613,"[1131, 946, 321, 154, 1236, 295, 207, 819, 234, 828, 230, 471, 995, 1092, 9, 1, 155, 368, 82, 766, 169, 40, 175, 285, 1084, 299, 65, 459, 1526, 783, 1400, 590, 238, 81, 375, 134, 15, 251, 254, 220, 377, 333, 764, 695, 748, 850, 413, 1027, 39, 151, 369, 226, 147, 121, 21, 71, 101]","[658, 154, 415, 839, 987, 1563, 63, 46, 135, 377, 279, 849, 125, 790, 209, 1208, 456, 574, 2020, 1353, 132, 1113, 1341, 565, 1178, 1045, 1801, 153, 655, 1522, 38, 343, 1743, 271, 124, 899]",742
مسروق بن الأجدع بن مالك بن أمية بن عبد الله بن مر بن سلمان ، ويقال : سلامان بن معمر بن الحارث بن سعد بن عبد الله بن وادعة بن عمرو بن عامر بن ناشج بن رافع بن مالك بن جشم بن حاشد بن جشم بن خيوان بن نوف بن همدان,"['أبيه', 'مسروق', 'مسروق ابن الأجدع', 'مسروق بن الأجدع', 'مسروق يعني ابن الأجدع']",ثقة فقيه عابد ، مخضرم,-,-,الهمداني ، ثم الوادعي ، الكوفي ، العابد,ابن أخيه محمد بن المنتشر بن الأجدع ، وخاله عمرو بن معد يكرب الكندي ، وامرأته قمير بنت عمرو ، ولاه زياد على السلسلة ، وإخوته : عبد الله ، وأبو بكر ، والمنتشر,-,أبو عائشة ،  وقال علي بن عبد الله التميمي في « تاريخه » : يكنى أبا هاشم ،  وفي كتاب القراب : أبو يزيد,قال أبو نعيم : 62 هـ . وقال محمد بن سعد وغيره :  63 هـ,الثانية,أحد الأعلام,السلسلة ، البصرة ، الكوفة,-,قال ابن حبان : السلسلة ، وفي كتاب الصيرفيني : بصريفين واسط,البصرة,614,"[13, 200, 715, 313, 94, 1946, 1104, 520, 383, 679, 98, 905, 251, 265, 97, 50, 439, 61, 29, 780, 104, 23, 105, 302, 752, 971, 173]","[2106, 255, 376, 1082, 779, 1303, 1878, 1164, 604, 771, 910, 596, 497, 87, 426, 691, 751, 1578, 452, 299, 16, 297, 199, 663, 1555, 944, 1588, 377, 501, 690, 382, 17, 381, 1163, 716, 198, 483, 477]",2605
محمد بن رافع بن أبي زيد : سابور,"['أبو عبد الله محمد بن رافع', 'ابن رافع', 'محمد', 'محمد بن رافع', 'محمد بن رافع القشيري', 'محمد بن رافع النيسابوري', 'محمد بن رافع بن أبي زيد أبو عبد الله', 'محمد بن نافع', 'محمد رافع']",ثقة عابد,-,الحافظ,القشيري ، مولاهم، النيسابوري، الزاهد ، الحافظ,القشيرى مولاهم,-,أبو عبد الله,245 هـ,الحادية عشرة,قال النسائي : ثقة مأمون ، وقيل : بعث إليه ابن طاهر بخمسة آلاف فردها مع فقره المدقع وكان مهيبا كبير القدر,-,-,-,-,615,"[1700, 1049, 516, 1191, 1236, 1234, 1338, 9, 886, 155, 210, 285, 65, 741, 459, 631, 2160, 783, 238, 375, 267, 351, 360, 220, 675, 748, 352, 837, 850, 505, 39, 71, 101]","[515, 63, 2071, 125, 456, 307, 228, 528, 69, 533, 163, 720, 153, 411, 1928, 739, 183, 91, 719, 1195]",272
عبد الرحمن بن أبي بكر بن عبيد الله بن أبي مليكة,"['أبو بكر المليكي', 'أبو محمد المليكي', 'ابن أبي مليكة', 'ابن أبي مليكة يعني عبد الرحمن بن أبي مليكة', 'عبد الرحمن بن أبي بكر', 'عبد الرحمن بن أبي بكر التيمي', 'عبد الرحمن بن أبي بكر الجدعاني', 'عبد الرحمن بن أبي بكر القرشي', 'عبد الرحمن بن أبي بكر المليكي', 'عبد الرحمن بن أبي بكر بن أبي مليكة', 'عبد الرحمن بن أبي بكر بن عبيد الله', 'عبد الرحمن بن أبي بكر وهو ابن المليكي', 'عبد الرحمن بن أبي بكر وهو المليكي', 'عبد الرحمن بن أبي مليكة', 'عبد الرحمن بن أبي مليكة القرشي']",ضعيف,-,-,التيمي ، المدني ، القرشي ، الجدعاني ،  المليكي,والد  أبي غرارة محمد بن عبد الرحمن المعروف بزوج جبرة ، عمه : عبد الله بن عبيد الله بن أبي مليكة,-,-,بين 161 هـ و170 هـ,السابعة,ضعيف,-,-,-,-,616,"[1560, 239, 66, 503, 402, 362, 304, 488, 286, 571]","[1518, 57, 459, 783, 214, 675, 352, 505, 147, 71]",2010
محمد بن الحسين بن محمد بن الهيثم,"['أبو عمر محمد بن الحسين القاضي', 'أبو عمرو محمد بن الحسين بن محمد القاضي', 'القاضي أبو عمر محمد بن الحسين', 'القاضي أبو عمر محمد بن الحسين بن محمد', 'القاضي أبو عمر محمد بن الحسين بن محمد بن الهيثم البسطامي']",-,-,-,البسطامي ، الواعظ ، القاضي ، الشافعي,تزوج بابنة الأستاذ أبي الطيب الصعلوكي ، فولدت له المؤيد والموفق,شيخ الشافعية,أبو عمر,407 هـ ، أو 408 هـ,-,-,نيسابور,-,نيسابور,بغداد ، العراق ، الأهواز ، أصبهان ، سجستان,617,"[2084, 527, 131]",[35],875
عبد الله بن أحمد بن أسيد,"['عبد الله', 'عبد الله بن أحمد بن أسيد', 'عبد الله بن أحمد بن أسيد الأصبهاني']",-,-,الحافظ,الحافظ ، الرحال ، الأصبهاني,أخو إسماعيل بن أحمد,-,أبو محمد,310هـ,-,-,أصبهان,-,-,بغداد,618,"[332, 619]",[131],8486
كثير بن محمد بن عبد الله بن عبادة بن قيس بن صبيح,"['أبو أنس كثير بن محمد', 'كثير بن محمد أبو أنس الكوفي']",-,-,-,التميمي ، وقيل : الحزامي ، قال الخطيب : أحسبه من أهل الكوفة,-,-,أبو أنس,-,-,-,الكوفة,-,-,بغداد,619,"[352, 1852]","[618, 1144]",10617
ذر بن عبد الله بن زرارة,"['أبي', 'أبيه', 'ذر', 'ذر أبو عمر', 'ذر المرهبي', 'ذر الهمداني', 'ذر بن عبد الله', 'ذر بن عبد الله المرهبي', 'ذر بن عبد الله الهمداني', 'زر']",ثقة عابد,-,-,المرهبي ، الهمداني ، الكوفي,والد عمر بن ذر,رمي بالإرجاء,أبو عمر,قبل سنة 100 هـ,السادسة,هجره سعيد بن جبير لإرجائه ، موثق,-,-,-,-,620,"[255, 13, 452, 1742, 1019, 18, 251, 1610, 61, 17, 105]","[1123, 1007, 910, 497, 896, 197, 16, 138]",2603
عبد الله بن الزبير بن العوام بن خويلد بن أسد,"['أبوه', 'أبي', 'أبيه', 'ابن الزبير', 'ابن زبير', 'الزبير', 'جده', 'عبد الله', 'عبد الله بن الزبير', 'عبد الله بن الزبير بن العوام', 'عبد الله بن زبير', 'عبد الله يعني ابن الزبير']",كان أول مولود في الإسلام بالمدينة من المهاجرين,-,-,القرشى ، الأسدى ، المدني ، المكي,جده : أبي بكر الصديق ، أمه : أسماء بنت أبي بكر الصديق ، وخالته : عائشة أم المؤمنين ، وجدته : صفية عمة رسول الله ، وعمة أبيه : خديجة بنت خويلد ، وهو والد : عامر ، وعباد ، وأم عمرو ، وابن ابنه : مصعب بن ثابت بن عبد الله بن الزبير ، وابن ابنه : يحيى بن عباد بن عبد الله بن الزبير ، وأخوه : عروة بن الزبير ، وأبناء أخيه : عبد الله ، ومحمد ، وهشام ، أبناء عروة بن الزبير ، ومولاه : يوسف بن الزبير ، وخادمه : مرزوق الثقفي,-,أبو بكر ، ويقال له : أبو خبيب,72 هـ ، أو 73 هـ,كان أول مولود في الإسلام بالمدينة من المهاجرين,-,-,1 هـ ، أو 2 هـ,مكة,مصر,621,"[1935, 1599, 745, 984, 478, 98, 28, 251, 265, 61, 29, 104, 23, 172, 302, 173]","[1285, 1275, 117, 779, 2090, 102, 545, 1164, 575, 2210, 604, 1018, 497, 1519, 1823, 1117, 513, 861, 40, 175, 1104, 478, 452, 1053, 85, 1304, 1317, 1489, 398, 25, 1012, 1186, 663, 427, 1256, 1183, 680, 10, 185, 66, 274, 1298, 2006, 377, 501, 714, 690, 378, 17, 362, 110, 980, 198, 1099, 483, 323, 304, 488, 571, 1242, 744, 1824]",899
سعيد بن العباس بن محمد بن علي بن سعيد,"['أبو عثمان سعيد بن العاص بن محمد بن علي القرشي', 'أبو عثمان سعيد بن العباس بن محمد القرشي الهروي', 'الإمام أبو عثمان']",-,-,-,القرشي ، الهروي,-,-,أبو عثمان,433 هـ,-,-,هَرَاةَ,-,-,بغداد ، نيسابور,622,"[1966, 623]",[35],9444
محمد بن عبد الله بن محمد بن يوسف,"['أبو بكر بن عبد الله العماني', 'أبو بكر محمد بن عبد الله الحفيد', 'أبو بكر محمد بن عبد الله بن أحمد الحفيد', 'محمد بن عبد الله بن محمد بن يوسف بن سيار']",-,-,-,النيسابوري ، العماني ، الحنفي,سبط العباس بن حمزة,الحنفي,أبو بكر,344 هـ,-,-,عمان,-,هراة,العراق,623,"[624, 928, 145]","[622, 5]",8659
علي بن الحسين بن الجنيد,"['علي بن الحسن بن الجنيد', 'علي بن الحسين', 'علي بن الحسين الرازي', 'علي بن الحسين بن الجنيد', 'علي بن الحسين بن الجنيد الرازي', 'علي بن الحسين بن الجنيد المالكي', 'علي بن الحسين بن جنيد', 'علي بن الحسين بن جنيد الرازي', 'علي بن الحسين بن علي بن الجنيد']",-,المالكي,الحافظ,الحافظ ، النخعي ، الرازي ، المالكي,-,-,أبو الحسن,291 هـ . وأرخه الخليلي 288 هـ,-,-,-,-,الري,الجزيرة ، دمشق ، مصر ، الكوفة,624,"[1853, 1191, 1026, 308, 2021, 371, 113, 660, 344, 625]","[454, 37, 1100, 345, 62, 514, 883, 1899, 623, 141]",4126
يعقوب بن حميد بن كاسب ، وقد ينسب إلى جده,"['ابن كاسب', 'يعقوب', 'يعقوب بن حميد', 'يعقوب بن حميد المدني', 'يعقوب بن حميد المديني', 'يعقوب بن حميد بن كاسب', 'يعقوب بن حميد بن كاسب المدني', 'يعقوب بن حميد بن كاسب المديني', 'يعقوب بن كاسب', 'يعقوب بن مالك']",صدوق ، ربما وهم .,-,-,المدني ، المكي,-,-,أبو يوسف,240 هـ ، أو 241 هـ,العاشرة,قال أبو حاتم : ضعيف ، وقال غيره :  صاحب مناكير ، وقال البخاري : لم تر إلا خيرا ، هو في الأصل صدوق .,مكة,-,-,-,625,"[502, 341, 792, 1728, 1518, 1770, 207, 819, 975, 65, 375, 134, 475, 351, 254, 220, 333, 369, 226, 147, 1225]","[444, 46, 135, 125, 548, 74, 1128, 1817, 348, 1045, 1517, 1534, 655, 119, 647, 484, 624, 202, 271, 124, 278, 899, 583]",38
الحسن بن محمد بن عبد الله بن حسنويه,"['أبو سعد بن حسنويه', 'أبو سعيد الحسن بن محمد بن عبد الله بن حسنويه']",-,-,-,المؤدب ، الكاتب ، الأصبهاني,-,-,أبو سعيد,423 هـ,-,-,-,-,-,-,626,[627],"[211, 1679]",2063
عبد الله بن محمد بن عيسى بن مزيد,"['أبو محمد عبد الله بن محمد بن عيسى الخشاب', 'عبد الله بن محمد بن عيسى', 'عبد الله بن محمد بن عيسى الخشاب']",-,-,-,الخشاب,-,-,أبو محمد,-,-,-,-,-,-,-,627,"[628, 583]","[211, 626]",2064
إبراهيم بن محمد بن الحارث بن ميمون,"['إبراهيم', 'إبراهيم الضبي', 'إبراهيم بن محمد الهلالي', 'إبراهيم بن محمد بن الحارث', 'إبراهيم بن محمد بن الحارث الأصبهاني', 'إبراهيم بن محمد بن الحارث الهلالي', 'إبراهيم بن محمد بن نائلة الأصبهاني', 'إبراهيم بن نائلة', 'إبراهيم بن نائلة الأصبهاني']",-,ابن نائلة,-,الأصبهاني,امه نائلة,-,أبو إسحاق,291 هـ,-,-,-,-,-,-,628,"[1531, 1482, 1375, 92, 629, 1077, 800, 1410]","[1953, 201, 1033, 131, 118, 627]",751
عبد الرحمن بن عبد الوهاب,"['عبد الرحمن بن عبد الوهاب', 'عبد الرحمن بن عبد الوهاب الصيرفي']",ثقة,-,-,العمي ، البصري ، الصيرفي,-,-,-,بين 241 هـ و250 هـ,الحادية عشرة,-,-,-,-,-,629,"[918, 1567, 741, 238, 360, 675, 505, 226, 630]","[74, 314, 1817, 123, 628, 647]",2557
